load,churn,mtu_violations,generated,delivered,dropped,delivery_rate,p95_delay,entry_exit_linkability
1.0,0.0,0,5067,5063,4,0.9992105782514308,3.0,0.12482717756270986
5.0,0.0,0,24997,24989,8,0.9996799615953914,4.0,0.03377486093881308
10.0,0.0,0,50608,49367,1241,0.9754781852671515,152.0,0.02378106832499443
20.0,0.0,0,99984,33041,66943,0.3304628740598496,3181.0,0.04872733876093339
40.0,0.0,0,200198,18378,181820,0.09179911887231641,4310.0,0.03591250408096637
60.0,0.0,0,301278,12210,289068,0.04052735347419991,4565.0,0.03505323505323505
1.0,0.1,0,4987,3199,1788,0.6414678163224383,3.0,0.05376680212566427
5.0,0.1,0,25268,16114,9154,0.6377236029760962,3.0,0.006267841628397667
10.0,0.1,0,49748,26942,22806,0.5415695103320737,7.0,0.0341474278078836
20.0,0.1,0,100073,23831,76242,0.23813616060276,19.0,0.08476354328395787
40.0,0.1,0,200065,13542,186523,0.06768800139954514,33.0,0.035666814355338944
60.0,0.1,0,299664,8488,291176,0.028325057397618668,40.0,0.0630301602262017
1.0,0.2,0,4935,2012,2923,0.4077001013171226,3.0,0.018389662027833
5.0,0.2,0,24990,9880,15110,0.3953581432573029,3.0,0.043927125506072875
10.0,0.2,0,50024,16894,33130,0.3377178954102031,5.0,0.02048064401562685
20.0,0.2,0,99997,16611,83386,0.16611498344950348,10.0,0.0488230690506291
40.0,0.2,0,200035,9289,190746,0.046436873547129255,17.0,0.06792980945204005
60.0,0.2,0,299096,5585,293511,0.01867293444245326,21.0,0.08397493285586392
1.0,0.3,0,5172,1283,3889,0.24806651198762567,3.0,0.003897116134060795
5.0,0.3,0,25153,5785,19368,0.22999244622907805,3.0,0.021780466724286948
10.0,0.3,0,49999,9717,40282,0.19434388687773754,4.0,0.023669856951734073
20.0,0.3,0,100094,10702,89392,0.10691949567406638,7.0,0.04971033451691273
40.0,0.3,0,199795,6153,193642,0.03079656648064266,11.0,0.03461725987323257
60.0,0.3,0,300075,3305,296770,0.011013913188369574,13.0,0.034493192133131616
